team2,Mean Score
WSA,120.42105263157895
TEX,119.11363636363636
OAK,118.40697674418605
PTC,116.94505494505495
MNP,115.25
DNA,114.03125
SDR,112.98214285714286
CIN,112.85365853658537
MMF,112.05747126436782
SFW,112.03537735849056
LAS,111.81111111111112
INA,111.26744186046511
BAL,111.23421052631579
VIR,111.17843866171003
ANA,111.13513513513513
CAR,111.1214953271028
PTP,110.61797752808988
FLO,109.71910112359551
NOB,109.4779411764706
KEN,109.1301204819277
MMP,108.76404494382022
STL,108.4326923076923
CHP,108.42307692307692
NJA,108.13157894736842
DNR,108.09771986970684
SSL,107.9888888888889
NYA,107.79063360881543
DLC,107.73557692307692
SDA,107.68702290076335
MMT,107.27906976744185
UTS,106.95967741935483
MNM,106.84444444444445
KCK,106.69882352941177
CHZ,106.63333333333334
SAA,106.44525547445255
SDC,106.07317073170732
LAL,105.6680545041635
HSM,105.325
PHO,104.92201199815413
BUF,104.86144578313252
GSW,104.22554890219561
MMS,104.17777777777778
DEN,104.07571508693214
SEA,103.2071468453378
OKC,102.90486725663717
PHI,102.8483237939493
WSB,102.39518555667001
BOS,102.31293188548865
NOJ,102.25853658536586
POR,102.06228874939643
HOU,102.0539358600583
DET,102.03723816912336
KCO,101.9920634920635
MIL,101.95509259259259
SAS,101.62025316455696
CAP,100.73333333333333
DAL,100.72493887530563
CHI,100.22957371225577
BRK,100.22007722007721
SAC,100.0219298245614
IND,99.93560814529444
SYR,99.70906200317965
ATL,99.60187353629976
NYK,99.52108036890645
CHH,99.35384615384615
UTA,99.25278592375366
LAC,99.04677533664068
NJN,98.57501697216564
CLE,98.42996108949416
ORL,97.9910277324633
MIN,97.60570469798658
TOR,96.93854166666667
SDS,96.125
WAS,96.08840413318025
NOP,96.04230118443317
NYN,95.5609756097561
MEM,95.25171939477303
CHO,95.24564459930313
MIA,94.97562833206398
PHW,93.04387291981845
NOK,92.89024390243902
MNL,91.62962962962963
VAN,91.1608695652174
ROC,84.01420454545455
AND,83.08823529411765
FTW,81.7864406779661
INO,80.51937984496124
TRI,80.0
WAT,79.09677419354838
CHS,78.77857142857142
DNN,78.42857142857143
BLB,76.16402116402116
MLH,75.95555555555555
INJ,75.03448275862068
SHE,74.81818181818181
WSC,74.125
PRO,72.38636363636364
STB,71.984
CLR,68.1875
DTF,65.06666666666666
PIT,62.6
TRH,59.03333333333333
